ds,y
2020-01-01,28.57
2020-01-02,28.73
2020-01-03,28.87
2020-01-04,29.04
2020-01-05,28.95
2020-01-06,28.810000000000002
2020-01-07,28.75
2020-01-08,28.63
2020-01-09,28.580000000000002
2020-01-10,28.490000000000002
2020-01-11,28.45
2020-01-12,28.73
2020-01-13,28.79
2020-01-14,28.53
2020-01-15,28.45
2020-01-16,28.36
2020-01-17,28.6
2020-01-18,28.32
2020-01-19,28.19
2020-01-20,28.43
2020-01-21,28.53
2020-01-22,29.2
2020-01-23,29.35
2020-01-24,29.16
2020-01-25,28.810000000000002
2020-01-26,28.650000000000002
2020-01-27,28.52
2020-01-28,28.11
2020-01-29,28.09
2020-01-30,28.63
2020-01-31,28.8
2020-02-01,28.87
2020-02-02,28.6
2020-02-03,28.23
2020-02-04,28.17
2020-02-05,28.13
2020-02-06,28.19
2020-02-07,28.36
2020-02-08,28.45
2020-02-09,28.47
2020-02-10,28.490000000000002
2020-02-11,28.36
2020-02-12,28.45
2020-02-13,28.42
2020-02-14,28.28
2020-02-15,28.310000000000002
2020-02-16,27.98
2020-02-17,28.27
2020-02-18,28.28
2020-02-19,28.07
2020-02-20,27.84
2020-02-21,27.77
2020-02-22,27.82
2020-02-23,27.78
2020-02-24,27.54
2020-02-25,27.34
2020-02-26,27.580000000000002
2020-02-27,27.93
2020-02-28,27.87
2020-02-29,27.72
2020-03-01,27.59
2020-03-02,27.560000000000002
2020-03-03,27.57
2020-03-04,27.73
2020-03-05,27.98
2020-03-06,28.060000000000002
2020-03-07,28.150000000000002
2020-03-08,27.77
2020-03-09,27.6
2020-03-10,27.54
2020-03-11,27.6
2020-03-12,27.67
2020-03-13,27.52
2020-03-14,27.54
2020-03-15,27.46
2020-03-16,27.44
2020-03-17,27.42
2020-03-18,27.34
2020-03-19,27.36
2020-03-20,27.27
2020-03-21,27.52
2020-03-22,27.66
2020-03-23,27.75
2020-03-24,27.8
2020-03-25,27.84
2020-03-26,27.560000000000002
2020-03-27,27.21
2020-03-28,27.73
2020-03-29,27.89
2020-03-30,27.8
2020-03-31,28.02
2020-04-01,28.080000000000002
2020-04-02,28.12
2020-04-03,28.580000000000002
2020-04-04,28.53
2020-04-05,27.740000000000002
2020-04-06,27.77
2020-04-07,27.8
2020-04-08,26.89
2020-04-09,26.87
2020-04-10,27.650000000000002
2020-04-11,27.73
2020-04-12,28.11
2020-04-13,28.25
