,time,sst1,sst2,sst3,sst4,sst5,sst6,sst7,sst8,sst9,sst10,sst11
0,2020-01-01,28.57,28.57,28.57,28.57,28.62,28.62,28.57,28.62,28.62,28.57,28.62
1,2020-01-02,28.73,28.73,28.73,28.73,28.75,28.75,28.73,28.75,28.75,28.73,28.75
2,2020-01-03,28.87,28.87,28.87,28.87,28.93,28.93,28.87,28.93,28.93,28.87,28.93
3,2020-01-04,29.04,29.04,29.04,29.04,29.07,29.07,29.04,29.07,29.07,29.04,29.07
4,2020-01-05,28.95,28.95,28.95,28.95,29.03,29.03,28.95,29.03,29.03,28.95,29.03
5,2020-01-06,28.810000000000002,28.810000000000002,28.810000000000002,28.810000000000002,28.82,28.82,28.810000000000002,28.82,28.82,28.810000000000002,28.82
6,2020-01-07,28.75,28.75,28.75,28.75,28.79,28.79,28.75,28.79,28.79,28.75,28.79
7,2020-01-08,28.63,28.63,28.63,28.63,28.66,28.66,28.63,28.66,28.66,28.63,28.66
8,2020-01-09,28.580000000000002,28.580000000000002,28.580000000000002,28.580000000000002,28.6,28.6,28.580000000000002,28.6,28.6,28.580000000000002,28.6
9,2020-01-10,28.490000000000002,28.490000000000002,28.490000000000002,28.490000000000002,28.52,28.52,28.490000000000002,28.52,28.52,28.490000000000002,28.52
10,2020-01-11,28.45,28.45,28.45,28.45,28.52,28.52,28.45,28.52,28.52,28.45,28.52
11,2020-01-12,28.73,28.73,28.73,28.73,28.79,28.79,28.73,28.79,28.79,28.73,28.79
12,2020-01-13,28.79,28.79,28.79,28.79,28.75,28.75,28.79,28.75,28.75,28.79,28.75
